CCSR Diagnosis Code  CCSR Procedure Code
BLD001               ADM001                  3130
                     GIS001                   394
                     GIS004                   289
                     ADM021                    90
                     OTR004                    62
                     GIS002                    55
                     GIS016                    43
                     IMG008                    37
                     CAR024                    31
                     ESA001                    28
                     LYM007                    27
                     GNR004                    25
                     ADM017                    24
                     MAM005                    18
                     ESA004                    14
                     ADM015                    13
                     ADM019                    13
                     ESA003                    12
                     GIS027                    12
                     FRS015                    11
                     MAM011                    11
                     CAR028                    10
                     GIS006                     8
                     IMG006                     8
                     MAM008                     8
                     GIS005                     6
                     MST028                     6
                     RES005                     6
                     ADM002                     5
                     CNS002                     5
                     MAM006                     5
                     CAR008                     4
                     GIS017                     4
                     MAM007                     4
                     MST018                     4
                     URN006                     4
                     CAR004                     3
                     FRS010                     3
                     LYM001                     3
                     MST002                     3
                     RES002                     3
                     SKB006                     3
                     SUD001                     3
                     URN003                     3
                     ADM004                     2
                     ADM014                     2
                     CAR026                     2
                     EST001                     2
                     GIS003                     2
                     HEP001                     2
                     HEP008                     2
                     IMG001                     2
                     IMG005                     2
                     IMG007                     2
                     RES001                     2
                     RES003                     2
                     RES007                     2
                     URN005                     2
                     ADM007                     1
                     ADM010                     1
                     ADM012                     1
                     ADM013                     1
                     CAR002                     1
                     CAR006                     1
                     CAR011                     1
                     CAR015                     1
                     CAR019                     1
                     CAR023                     1
                     CAR025                     1
                     ENP004                     1
                     ENT001                     1
                     ENT002                     1
                     ENT003                     1
                     ENT004                     1
                     ENT013                     1
                     ESA006                     1
                     ESA009                     1
                     FRS001                     1
                     GIS007                     1
                     GIS022                     1
                     GIS024                     1
                     GIS025                     1
                     GNR006                     1
                     HEP007                     1
                     IMG002                     1
                     IMG004                     1
                     IMG009                     1
                     MAM001                     1
                     MAM010                     1
                     MAM013                     1
                     MHT005                     1
                     MRS004                     1
                     MST001                     1
                     MST003                     1
                     MST004                     1
                     MST007                     1
                     MST010                     1
                     MST015                     1
                     MST019                     1
                     MST020                     1
                     PGN002                     1
                     PGN004                     1
                     RAD001                     1
                     RHB002                     1
                     SKB001                     1
                     SKB008                     1
                     URN001                     1
                     URN002                     1
BLD002               ADM001                   352
                     LYM007                    31
                     CAR024                    21
                     LYM005                    19
                     ADM012                    14
                     ADM021                    14
                     IMG008                    10
                     OTR004                     9
                     ADM003                     8
                     LYM001                     8
                     GIS001                     7
                     ADM015                     5
                     ESA001                     5
                     GIS004                     5
                     ESA003                     4
                     ADM002                     3
                     ADM017                     3
                     ESA004                     3
                     RES007                     3
                     URN011                     3
                     ADM016                     2
                     CAR008                     2
                     CAR023                     2
                     CAR025                     2
                     GIS016                     2
                     GIS017                     2
                     MAM011                     2
                     RES001                     2
                     RES005                     2
                     ADM011                     1
                     ADM019                     1
                     CAR026                     1
                     CNS002                     1
                     ENT001                     1
                     EST001                     1
                     EST002                     1
                     FRS015                     1
                     HEP010                     1
                     HEP011                     1
                     IMG001                     1
                     IMG005                     1
                     IMG006                     1
                     LYM006                     1
                     MAM005                     1
                     MAM006                     1
                     MAM007                     1
                     MST003                     1
                     MST020                     1
                     PGN002                     1
                     RES010                     1
                     URN002                     1
                     URN006                     1
BLD003               ADM001                  1684
                     LYM007                   179
                     GIS001                    82
                     GIS004                    55
                     OTR004                    37
                     ESA001                    32
                     ADM021                    30
                     CAR024                    29
                     ESA003                    24
                     ADM011                    23
                     ADM017                    20
                     ADM015                    15
                     IMG008                    15
                     ADM019                    13
                     GIS002                    12
                     GIS016                    12
                     ESA004                    11
                     GIS006                    10
                     ADM012                     9
                     ADM002                     7
                     IMG007                     7
                     LYM001                     7
                     MAM011                     7
                     CAR025                     6
                     GNR004                     6
                     ADM003                     5
                     EST001                     5
                     RES005                     5
                     IMG006                     4
                     RES001                     4
                     CAR001                     3
                     GIS017                     3
                     GIS027                     3
                     MAM007                     3
