CCSR Diagnosis Code  CCSR Diagnosis Description                                                                                                  
BLD001               Nutritional anemia                                                                                                                5097
BLD002               Hemolytic anemia                                                                                                                   682
BLD003               Aplastic anemia                                                                                                                   2920
BLD004               Acute posthemorrhagic anemia                                                                                                      3393
BLD005               Sickle cell trait/anemia                                                                                                          7541
BLD006               Coagulation and hemorrhagic disorders                                                                                             3366
BLD007               Diseases of white blood cells                                                                                                     1951
BLD008               Immunity disorders                                                                                                                 446
BLD009               Postprocedural or postoperative complications of the spleen                                                                         27
BLD010               Other specified and unspecified hematologic conditions                                                                             409
CIR001               Chronic rheumatic heart disease                                                                                                   1796
CIR002               Acute rheumatic heart disease                                                                                                       20
CIR003               Nonrheumatic and unspecified valve disorders                                                                                     10499
CIR004               Endocarditis and endocardial disease                                                                                               790
CIR005               Myocarditis and cardiomyopathy                                                                                                    1654
CIR006               Pericarditis and pericardial disease                                                                                              2817
CIR007               Essential hypertension                                                                                                             685
CIR008               Hypertension with complications and secondary hypertension                                                                       10480
CIR009               Acute myocardial infarction                                                                                                      28217
CIR010               Complications of acute myocardial infarction                                                                                        58
CIR011               Coronary atherosclerosis and other heart disease                                                                                 23967
CIR012               Nonspecific chest pain                                                                                                           11447
CIR013               Acute pulmonary embolism                                                                                                         10487
CIR014               Pulmonary heart disease                                                                                                            838
CIR015               Other and ill-defined heart disease                                                                                                717
CIR016               Conduction disorders                                                                                                              4781
CIR017               Cardiac dysrhythmias                                                                                                             33350
CIR018               Cardiac arrest and ventricular fibrillation                                                                                       1359
CIR019               Heart failure                                                                                                                    59312
CIR020               Cerebral infarction                                                                                                              29733
CIR021               Acute hemorrhagic cerebrovascular disease                                                                                         7461
CIR022               Sequela of hemorrhagic cerebrovascular disease                                                                                    1128
CIR023               Occlusion or stenosis of precerebral or cerebral arteries without infarction                                                      4905
CIR024               Other and ill-defined cerebrovascular disease                                                                                     2545
CIR025               Sequela of cerebral infarction and other cerebrovascular disease                                                                  6242
CIR026               Peripheral and visceral vascular disease                                                                                          4780
CIR027               Arterial dissections                                                                                                              1435
CIR028               Gangrene                                                                                                                           506
CIR029               Aortic; peripheral; and visceral artery aneurysms                                                                                 3708
CIR030               Aortic and peripheral arterial embolism or thrombosis                                                                              786
CIR031               Hypotension                                                                                                                       6426
CIR032               Other specified and unspecified circulatory disease                                                                                561
CIR033               Acute phlebitis; thrombophlebitis and thromboembolism                                                                             5256
CIR034               Chronic phlebitis; thrombophlebitis and thromboembolism                                                                            141
CIR035               Varicose veins of lower extremity                                                                                                  407
CIR036               Postthrombotic syndrome and venous insufficiency/hypertension                                                                     1036
CIR038               Postprocedural or postoperative circulatory system complication                                                                   1012
CIR039               Other specified diseases of veins and lymphatics                                                                                  1114
DIG001               Intestinal infection                                                                                                              9580
DIG002               Disorders of teeth and gingiva                                                                                                     780
DIG003               Diseases of mouth; excluding dental                                                                                               1545
DIG004               Esophageal disorders                                                                                                              6631
DIG005               Gastroduodenal ulcer                                                                                                              1649
DIG006               Gastrointestinal and biliary perforation                                                                                           469
DIG007               Gastritis and duodenitis                                                                                                          5233
DIG008               Other specified and unspecified disorders of stomach and duodenum                                                                 3007
DIG009               Appendicitis and other appendiceal conditions                                                                                    12133
DIG010               Abdominal hernia                                                                                                                  9931
DIG011               Regional enteritis and ulcerative colitis                                                                                         5636
DIG012               Intestinal obstruction and ileus                                                                                                 16100
DIG013               Diverticulosis and diverticulitis                                                                                                16681
DIG014               Hemorrhoids                                                                                                                       1738
DIG015               Anal and rectal conditions                                                                                                        1564
DIG016               Peritonitis and intra-abdominal abscess                                                                                           2819
DIG017               Biliary tract disease                                                                                                            21813
DIG018               Hepatic failure                                                                                                                   3054
DIG019               Other specified and unspecified liver disease                                                                                     9205
DIG020               Pancreatic disorders (excluding diabetes)                                                                                        13764
DIG021               Gastrointestinal hemorrhage                                                                                                      15516
DIG022               Noninfectious gastroenteritis                                                                                                     7108
DIG023               Noninfectious hepatitis                                                                                                            554
DIG024               Postprocedural or postoperative digestive system complication                                                                     7415
DIG025               Other specified and unspecified gastrointestinal disorders                                                                        7222
EAR001               Otitis media                                                                                                                       279
EAR002               Diseases of middle ear and mastoid (except otitis media)                                                                           321
EAR003               Diseases of inner ear and related conditions                                                                                      2468
EAR004               Hearing loss                                                                                                                        29
EAR005               Postprocedural or postoperative ear and/or mastoid process complication                                                              7
EAR006               Other specified and unspecified disorders of the ear                                                                               443
END001               Thyroid disorders                                                                                                                 1865
END002               Diabetes mellitus without complication                                                                                              48
END003               Diabetes mellitus with complication                                                                                              41375
END007               Nutritional deficiencies                                                                                                           423
END008               Malnutrition                                                                                                                       837
END009               Obesity                                                                                                                          21165
END010               Disorders of lipid metabolism                                                                                                      155
END011               Fluid and electrolyte disorders                                                                                                  22412
END012               Cystic fibrosis                                                                                                                    178
