APR DRG Code  APR DRG Description                                                                                                                                                                    
1             LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT                                                                                                                                                 694
2             HEART AND/OR LUNG TRANSPLANT                                                                                                                                                                  549
4             TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE                                                                                                                                      2515
5             TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE                                                                                                                                   3079
6             PANCREAS TRANSPLANT                                                                                                                                                                            61
7             ALLOGENEIC BONE MARROW TRANSPLANT                                                                                                                                                             632
8             AUTOLOGOUS BONE MARROW TRANSPLANT OR T-CELL IMMUNOTHERAPY                                                                                                                                    1280
9             EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)                                                                                                                                                    794
20            OPEN CRANIOTOMY FOR TRAUMA                                                                                                                                                                   1061
21            OPEN CRANIOTOMY EXCEPT TRAUMA                                                                                                                                                                8521
22            VENTRICULAR SHUNT PROCEDURES                                                                                                                                                                 1178
23            SPINAL PROCEDURES                                                                                                                                                                            1773
24            OPEN EXTRACRANIAL VASCULAR PROCEDURES                                                                                                                                                        2932
26            OTHER NERVOUS SYSTEM AND RELATED PROCEDURES                                                                                                                                                  1260
27            OTHER OPEN CRANIOTOMY                                                                                                                                                                         580
29            OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES                                                                                                                                                   1062
30            PERCUTANEOUS INTRACRANIAL AND EXTRACRANIAL VASCULAR PROCEDURES                                                                                                                               5938
40            SPINAL DISORDERS AND INJURIES                                                                                                                                                                 755
41            NERVOUS SYSTEM MALIGNANCY                                                                                                                                                                    3304
42            DEGENERATIVE NERVOUS SYSTEM DISORDERS EXCEPT MULTIPLE SCLEROSIS                                                                                                                             10444
43            MULTIPLE SCLEROSIS, OTHER DEMYELINATING DISEASE AND INFLAMMATORY NEUROPATHIES                                                                                                                2033
44            INTRACRANIAL HEMORRHAGE                                                                                                                                                                      4836
45            CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION                                                                                                                                               26114
46            NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION                                                                                                                                 1307
47            TRANSIENT ISCHEMIA                                                                                                                                                                           5961
48            PERIPHERAL, CRANIAL AND AUTONOMIC NERVE DISORDERS                                                                                                                                            4848
49            BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM                                                                                                                                       1031
50            NON-BACTERIAL INFECTIONS OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS                                                                                                                           1198
51            VIRAL MENINGITIS                                                                                                                                                                              346
52            ALTERATION IN CONSCIOUSNESS                                                                                                                                                                  7736
53            SEIZURE                                                                                                                                                                                     22341
54            MIGRAINE AND OTHER HEADACHES                                                                                                                                                                 3153
55            HEAD TRAUMA WITH COMA > 1 HOUR OR HEMORRHAGE                                                                                                                                                 7152
56            BRAIN CONTUSION OR LACERATION AND COMPLICATED SKULL FRACTURE, COMA < 1 HOUR OR NO COMA                                                                                                        124
57            CONCUSSION, CLOSED SKULL FRACTURE NOS, AND UNCOMPLICATED INTRACRANIAL INJURY, COMA < 1 HOUR OR NO COMA                                                                                       1162
58            OTHER DISORDERS OF NERVOUS SYSTEM                                                                                                                                                           15660
59            ANOXIC AND OTHER SEVERE BRAIN DAMAGE                                                                                                                                                          338
73            ORBIT AND EYE PROCEDURES                                                                                                                                                                      847
82            EYE INFECTIONS AND OTHER EYE DISORDERS                                                                                                                                                       2876
89            MAJOR CRANIAL OR FACIAL BONE PROCEDURES                                                                                                                                                      1105
91            OTHER MAJOR HEAD AND NECK PROCEDURES                                                                                                                                                          916
92            FACIAL BONE PROCEDURES EXCEPT MAJOR CRANIAL OR FACIAL BONE PROCEDURES                                                                                                                        1643
95            CLEFT LIP AND PALATE REPAIR                                                                                                                                                                   165
97            TONSIL AND ADENOID PROCEDURES                                                                                                                                                                 933
98            OTHER EAR, NOSE, MOUTH AND THROAT PROCEDURES                                                                                                                                                 1954
110           EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL MALIGNANCIES                                                                                                                                   731
111           VERTIGO AND OTHER LABYRINTH DISORDERS                                                                                                                                                        4323
113           INFECTIONS OF UPPER RESPIRATORY TRACT                                                                                                                                                        8317
114           DENTAL DISEASES AND DISORDERS                                                                                                                                                                 717
115           OTHER EAR, NOSE, MOUTH, THROAT AND CRANIAL OR FACIAL DIAGNOSES                                                                                                                               4468
120           MAJOR RESPIRATORY AND CHEST PROCEDURES                                                                                                                                                       3171
121           OTHER RESPIRATORY AND CHEST PROCEDURES                                                                                                                                                       6634
130           RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT > 96 HOURS                                                                                                                              4186
131           CYSTIC FIBROSIS - PULMONARY DISEASE                                                                                                                                                           242
132           BPD AND OTHER CHRONIC RESPIRATORY DISEASES ARISING IN PERINATAL PERIOD                                                                                                                        472
133           RESPIRATORY FAILURE                                                                                                                                                                         18471
134           PULMONARY EMBOLISM                                                                                                                                                                           9998
135           MAJOR CHEST AND RESPIRATORY TRAUMA                                                                                                                                                           5268
136           RESPIRATORY MALIGNANCY                                                                                                                                                                       5446
137           MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS                                                                                                                                              61442
138           BRONCHIOLITIS AND RSV PNEUMONIA                                                                                                                                                              8799
139           OTHER PNEUMONIA                                                                                                                                                                             24745
140           CHRONIC OBSTRUCTIVE PULMONARY DISEASE                                                                                                                                                       19860
141           ASTHMA                                                                                                                                                                                      15274
142           INTERSTITIAL AND ALVEOLAR LUNG DISEASES                                                                                                                                                      2133
143           OTHER RESPIRATORY DIAGNOSES EXCEPT SIGNS, SYMPTOMS AND MISCELLANEOUS DIAGNOSES                                                                                                               5735
144           RESPIRATORY SIGNS, SYMPTOMS AND MISCELLANEOUS DIAGNOSES                                                                                                                                      2039
145           ACUTE BRONCHITIS AND RELATED SYMPTOMS                                                                                                                                                        2203
160           MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY                                                                                                                                                  302
161           IMPLANTABLE HEART ASSIST SYSTEMS                                                                                                                                                              189
162           CARDIAC VALVE PROCEDURES WITH AMI OR COMPLEX PRINCIPAL DIAGNOSIS                                                                                                                              915
163           CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS                                                                                                                          4436
165           CORONARY BYPASS WITH AMI OR COMPLEX PRINCIPAL DIAGNOSIS                                                                                                                                      2137
166           CORONARY BYPASS WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS                                                                                                                                   5473
167           OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES                                                                                                                                        1953
