Hospital Service Area  Permanent Facility Id
Capital/Adirond        1.0                      34455
                       5.0                      23386
                       1005.0                   11962
                       818.0                    10987
                       756.0                     9215
                       829.0                     8781
                       746.0                     8772
                       135.0                     8034
                       848.0                     3754
                       484.0                     3054
                       146.0                     2898
                       330.0                     2549
                       324.0                     2235
                       831.0                     2006
                       739.0                     1126
                       325.0                      825
                       303.0                      563
                       9431.0                     491
                       10216.0                    400
                       755.0                      257
                       174.0                      143
                       482.0                      126
                       165.0                      119
                       170.0                       95
                       2.0                          2
Central NY             636.0                    20300
                       635.0                    20154
                       630.0                    17263
                       599.0                    11635
                       367.0                     9318
                       628.0                     8874
                       598.0                     8041
                       977.0                     5967
                       815.0                     5027
                       85.0                      4707
                       589.0                     3796
                       158.0                     3713
                       727.0                     3566
                       397.0                     2756
                       798.0                     2620
                       804.0                     1340
                       12.0                      1191
                       379.0                     1183
                       401.0                     1044
                       383.0                      795
                       362.0                      584
                       812.0                      493
                       9059.0                     426
                       377.0                      118
                       817.0                       45
Finger Lakes           413.0                    39776
                       411.0                    26823
                       409.0                    17686
                       471.0                    16683
                       116.0                     7794
                       678.0                     5633
                       1028.0                    5021
                       866.0                     4521
                       676.0                     2937
                       671.0                     2629
                       393.0                     2254
                       870.0                      904
                       118.0                      894
                       412.0                      322
                       1158.0                     288
                       858.0                      283
                       873.0                      148
Hudson Valley          1139.0                   23939
                       181.0                    22186
                       1045.0                   21315
                       699.0                    20026
                       779.0                    17585
                       776.0                    11673
                       1122.0                   11528
                       1117.0                   10727
                       694.0                    10187
                       180.0                     7793
                       1097.0                    7605
                       1039.0                    7566
                       1099.0                    7361
                       1129.0                    7275
                       192.0                     6220
                       1072.0                    5759
                       990.0                     5443
                       971.0                     3781
                       752.0                     3572
                       1047.0                    3484
                       708.0                     2995
                       1098.0                    2810
                       1046.0                    2679
                       1133.0                    2568
                       704.0                     2097
                       1061.0                    1728
                       775.0                     1517
                       1138.0                     413
                       1124.0                     379
                       989.0                      266
                       1002.0                      95
                       968.0                       82
Long Island            541.0                    48720
                       511.0                    35305
                       245.0                    34961
                       925.0                    25612
                       924.0                    23307
                       913.0                    20438
                       527.0                    19942
                       563.0                    19289
                       528.0                    16427
                       513.0                    11283
                       943.0                    10526
                       896.0                    10226
                       938.0                     9856
                       518.0                     9624
                       895.0                     8483
                       885.0                     7796
                       552.0                     7751
                       551.0                     6163
                       490.0                     5358
                       889.0                     4597
                       550.0                     3923
                       891.0                     1538
                       1630.0                     154
New York City          1456.0                   50110
                       1464.0                   44167
                       1458.0                   43877
                       1463.0                   43482
                       1630.0                   39078
                       1169.0                   35093
                       1305.0                   34581
                       1450.0                   30206
                       1740.0                   29607
                       1306.0                   29155
                       1438.0                   27761
                       1637.0                   27590
                       1304.0                   27020
                       3058.0                   24448
                       1466.0                   22949
                       1453.0                   22712
                       1178.0                   21106
                       1165.0                   20095
                       1626.0                   19797
                       1172.0                   18477
                       3376.0                   18114
                       1301.0                   17446
                       1469.0                   15975
                       1629.0                   15903
                       1638.0                   14966
                       1168.0                   14790
                       1176.0                   13998
                       1738.0                   13991
                       1286.0                   13098
                       1633.0                   13047
                       1294.0                   12943
                       3975.0                   12630
                       1628.0                   12416
                       1439.0                   11628
                       1318.0                   11490
                       1447.0                   11446
                       1288.0                   11381
                       1445.0                   10448
                       1692.0                    9289
                       1437.0                    8859
                       1639.0                    8809
                       1324.0                    8100
                       1635.0                    7823
                       1454.0                    7760
                       1737.0                    7196
                       1320.0                    7183
                       1186.0                    7079
                       1309.0                    5263
                       1446.0                    4411
                       1164.0                    4328
                       1293.0                    2582
                       1175.0                    1967
                       1315.0                    1138
                       10355.0                   1043
                       1486.0                     512
                       1460.0                     319
                       10223.0                    283
                       10139.0                      2
Southern Tier          58.0                     12578
                       43.0                      9633
                       42.0                      3051
                       128.0                     1217
Western NY             207.0                    22429
                       3067.0                   17546
                       213.0                    16341
                       210.0                    16161
                       208.0                    13339
                       218.0                    11237
                       267.0                     6068
                       103.0                     5839
                       66.0                      5520
                       216.0                     5078
                       339.0                     4520
                       583.0                     4520
                       574.0                     3683
                       1153.0                    2145
                       39.0                      1892
                       98.0                      1277
                       292.0                     1061
                       280.0                      723
                       565.0                      713
                       340.0                      379
                       718.0                      248
                       111.0                      156
                       37.0                         2
Name: count, dtype: int64
