CCSR Procedure Code  CCSR Procedure Description                                                                      
ADM001               TRANSFUSION OF BLOOD AND BLOOD PRODUCTS                                                              36138
ADM002               TRANSFUSION OF PLASMA                                                                                  797
ADM003               ADMINISTRATION OF ALBUMIN AND GLOBULIN                                                                1566
ADM004               TRANSFUSION OF CLOTTING FACTORS                                                                        428
ADM005               ADMINISTRATION OF THROMBOLYTICS AND PLATELET INHIBITORS                                               3566
ADM006               INFUSION OF VASOPRESSOR                                                                               2011
ADM007               INTRAVENOUS INDUCTION OF LABOR                                                                        3461
ADM008               CERVICAL RIPENING                                                                                      432
ADM009               RH IMMUNOGLOBULIN AND OTHER SERUM INFUSION                                                             113
ADM010               VACCINATIONS                                                                                         62412
ADM011               ADMINISTRATION AND TRANSFUSION OF BONE MARROW, STEM CELLS, PANCREATIC ISLET CELLS, AND T-CELLS        1438
ADM012               CHEMOTHERAPY                                                                                          9141
ADM013               PERITONEAL DIALYSIS                                                                                    543
ADM014               REGIONAL ANESTHESIA                                                                                   3161
ADM015               ADMINISTRATION OF ANTIBIOTICS                                                                        35194
ADM016               ADMINISTRATION OF ANTI-INFLAMMATORY AGENTS                                                            6326
ADM017               ADMINISTRATION OF NUTRITIONAL AND ELECTROLYTIC SUBSTANCES                                            21025
ADM018               IRRIGATION (DIAGNOSTIC AND THERAPEUTIC)                                                               1091
ADM019               POTENTIAL COVID-19 THERAPIES                                                                         32505
ADM020               ADMINISTRATION OF DIAGNOSTIC SUBSTANCES, NEC                                                           265
ADM021               ADMINISTRATION OF THERAPEUTIC SUBSTANCES, NEC                                                        50569
ADM022               COVID-19 VACCINATIONS                                                                                 1140
CAR001               HEART BIOPSY                                                                                           171
CAR002               HEART CONDUCTION MECHANISM PROCEDURES                                                                 4302
CAR003               CORONARY ARTERY BYPASS GRAFTS (CABG)                                                                  7291
CAR004               PERCUTANEOUS CORONARY INTERVENTIONS (PCI)                                                            21703
CAR005               OTHER CORONARY ARTERY PROCEDURES (EXCLUDING CABG AND PCI)                                              143
CAR006               CAROTID ENDARTERECTOMY AND STENTING                                                                   5123
CAR007               EMBOLECTOMY, ENDARTERECTOMY, AND RELATED VESSEL PROCEDURES (NON-ENDOVASCULAR; EXCLUDING CAROTID)      2180
CAR008               ANGIOPLASTY AND RELATED VESSEL PROCEDURES (ENDOVASCULAR; EXCLUDING CAROTID)                          10367
CAR009               LEFT ATRIAL APPENDAGE PROCEDURES                                                                      2728
CAR010               LIGATION AND EMBOLIZATION OF VESSELS                                                                  3693
CAR011               ANEURYSM REPAIR PROCEDURES                                                                            4654
CAR012               VESSEL REPAIR AND REPLACEMENT                                                                         1446
CAR013               HEART AND GREAT VESSEL BYPASS PROCEDURES                                                               241
CAR014               PERIPHERAL ARTERIAL BYPASS PROCEDURES                                                                 2451
CAR015               PERIPHERAL ARTERIOVENOUS FISTULA AND SHUNT PROCEDURES                                                 1119
CAR016               PORTAL AND OTHER VENOUS BYPASS PROCEDURES                                                              317
CAR017               PERICARDIAL PROCEDURES                                                                                1661
CAR018               HEART TRANSPLANT                                                                                       325
CAR019               SEPTAL REPAIR AND OTHER THERAPEUTIC HEART PROCEDURES                                                  1049
CAR020               SAPHENOUS VEIN HARVEST AND OTHER THERAPEUTIC VESSEL REMOVAL                                            686
CAR021               ARTERY, VEIN, AND GREAT VESSEL PROCEDURES, NEC                                                         704
CAR022               HEART VALVE REPLACEMENT AND OTHER VALVE PROCEDURES (NON-ENDOVASCULAR)                                 4684
CAR023               HEART VALVE REPLACEMENT AND OTHER VALVE PROCEDURES (ENDOVASCULAR)                                     7906
CAR024               VENOUS AND ARTERIAL CATHETER PLACEMENT                                                               32010
CAR025               PLACEMENT OF TUNNELED OR IMPLANTABLE PORTION OF A VASCULAR ACCESS DEVICE                              4288
CAR026               PACEMAKER AND DEFIBRILLATOR PROCEDURES                                                               10009
CAR027               HEART ASSIST DEVICE PROCEDURES                                                                         812
CAR028               INFERIOR VENA CAVA (IVC) FILTER PROCEDURES                                                            1283
CAR029               CARDIOVASCULAR DEVICE PROCEDURES, NEC                                                                 1606
CHP001               CHIROPRACTIC MANIPULATION                                                                                1
CNS001               MINIMALLY INVASIVE CNS BIOPSY                                                                          590
CNS002               LUMBAR PUNCTURE                                                                                      10026
CNS003               SPINAL CANAL AND SPINAL CORD DRAINAGE (EXCLUDING LUMBAR PUNCTURE)                                      239
CNS004               INTRACRANIAL EPIDURAL AND SUBDURAL SPACE DRAINAGE                                                     1745
CNS005               VENTRICULOSTOMY [PERCUTANEOUS APPROACH]                                                                883
CNS006               OTHER CNS DRAINAGE AND RELATED PROCEDURES                                                              707
CNS007               CNS EXCISION PROCEDURES                                                                               4877
CNS008               SPINAL CORD DECOMPRESSION                                                                             1974
CNS009               DECOMPRESSIVE CRANIECTOMY                                                                              550
CNS010               CEREBROSPINAL FLUID SHUNT PROCEDURES                                                                  1091
CNS011               MENINGES REPAIR                                                                                        486
CNS012               CNS NEUROSTIMULATOR PROCEDURES                                                                         698
CNS013               SPINAL EPIDURAL CATHETER PLACEMENT                                                                     100
CNS014               CNS PROCEDURES, NEC                                                                                   1092
ENP001               ENDOCRINE SYSTEM BIOPSY                                                                                173
ENP002               THYROIDECTOMY                                                                                         1367
ENP003               PARATHYROIDECTOMY                                                                                      277
ENP004               ADRENALECTOMY                                                                                          565
ENP005               PITUITARY GLAND RESECTION                                                                              813
ENP006               ENDOCRINE PROCEDURES, NEC                                                                               63
ENT001               LARYNGOSCOPY (DIAGNOSTIC)                                                                             1820
ENT002               ENT DIAGNOSTIC ENDOSCOPY (EXCLUDING LARYNGOSCOPY)                                                      491
