features,model_path,Total Costs_r2,Total Costs_mse,Length of Stay_r2,Length of Stay_mse,APR Risk of Mortality_r2,APR Risk of Mortality_mse,Total Costs_train_r2,Total Costs_train_mse,Length of Stay_train_r2,Length of Stay_train_mse,APR Risk of Mortality_train_r2,APR Risk of Mortality_train_mse
"['CCSR Procedure Code', 'Type of Admission']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission.pkl,0.6293348711261189,120565614.93888882,0.6813811749200196,2.8988250032646214,0.20735156536102295,0.5148988962173462,0.743165535489558,79256238.58634031,0.6974550194634643,2.703431045143311,0.2158362865447998,0.5103955864906311
"['CCSR Procedure Code', 'Type of Admission', 'Age Group']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Age_Group.pkl,0.6255100549156571,121809706.3910401,0.687653373740119,2.8417599294712343,0.23412197828292847,0.49750906229019165,0.7496605607896458,77251946.5385838,0.7074257240125903,2.614336484155201,0.24526101350784302,0.4912436902523041
"['CCSR Procedure Code', 'Type of Admission', 'Gender']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Gender.pkl,0.6285229522877909,120829706.39610489,0.6821882390137852,2.8914822557867925,0.20793354511260986,0.5145208835601807,0.7460664104135031,78361061.0815628,0.6995940900553399,2.684317094432331,0.21741950511932373,0.5093651413917542
"['CCSR Procedure Code', 'Type of Admission', 'Race']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Race.pkl,0.6302112527384447,120280555.78500456,0.684920437613167,2.8666244476777307,0.2093878984451294,0.5135761499404907,0.7474282844736027,77940802.00286968,0.7020385538962634,2.6624742615928536,0.22012382745742798,0.5076049566268921
"['CCSR Procedure Code', 'Type of Admission', 'Ethnicity']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Ethnicity.pkl,0.6305227907756344,120179222.33843851,0.6840933757211001,2.874149137065965,0.2078377604484558,0.5145831108093262,0.7479354584371518,77784293.7992824,0.7018234538151045,2.6643963170709726,0.21915650367736816,0.5082345604896545
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender.pkl,0.62445916570257,122151527.33490236,0.6882745752899586,2.836108177462264,0.23410850763320923,0.49751779437065125,0.7547834811135582,75671070.71561067,0.7098940601283295,2.5922803374185945,0.24828201532363892,0.48927736282348633
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Race']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Race.pkl,0.6233263082217073,122520009.95756854,0.6884474855259306,2.8345350233486295,0.2333173155784607,0.49803173542022705,0.7591486947308963,74324014.69415519,0.7125026516015062,2.5689709202199493,0.2504469156265259,0.4878682792186737
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Ethnicity']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Ethnicity.pkl,0.621961764941926,122963852.6253085,0.6886169041499839,2.83299363625921,0.2328099012374878,0.49836137890815735,0.7575719238009364,74810588.5395272,0.7127852955387232,2.5664453176029802,0.24954205751419067,0.48845723271369934
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Gender__Race.pkl,0.6309143020738585,120051876.12551229,0.682141387746171,2.8919085131680395,0.2090069055557251,0.5138236284255981,0.7532560425206738,76142421.15440159,0.7031320149884146,2.652703494092643,0.22250211238861084,0.5060569643974304
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Gender__Ethnicity.pkl,0.6309390868478526,120043814.4243029,0.684179609069739,2.8733645776881978,0.20796674489974976,0.514499306678772,0.750941849233347,76856555.27835919,0.7043859292448857,2.6414989759318064,0.22162848711013794,0.5066255927085876
"['CCSR Procedure Code', 'Type of Admission', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Race__Ethnicity.pkl,0.6294579270180978,120525588.7585644,0.6849667819069287,2.8662028027938127,0.20851612091064453,0.5141424536705017,0.7545695566614936,75737085.4050512,0.7048121280938341,2.637690619245114,0.22409623861312866,0.5050193667411804
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Race.pkl,0.6222271122768883,122877543.54975738,0.6876946027127053,2.8413848242759836,0.23282742500305176,0.49834999442100525,0.7687716042474049,71354492.61701134,0.716680983631824,2.531634876807013,0.255689799785614,0.48445576429367065
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_15/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Ethnicity.pkl,0.6217154935472746,123043956.90225574,0.6871808894008384,2.846058637860526,0.23247230052947998,0.4985806941986084,0.7639311593832967,72848199.6774911,0.7142933339503224,2.552970039143705,0.25433313846588135,0.48533883690834045
